sample_name	platform	qiita_prep_id	run_prefix
12802.10249.M012.03R	Illumina	7898	10249.M012.03R
12802.10249.M012.03V	Illumina	7898	10249.M012.03V
12802.10249.M014.01R	Illumina	7898	10249.M014.01R
12802.10249.M014.01SS	Illumina	7898	10249.M014.01SS
12802.10249.M014.01V	Illumina	7898	10249.M014.01V
12802.10249.M014.02R	Illumina	7898	10249.M014.02R
12802.10249.M014.02V	Illumina	7898	10249.M014.02V
12802.10249.M014.03R	Illumina	7898	10249.M014.03R
12802.10249.M015.01R	Illumina	7898	10249.M015.01R
12802.10249.M015.01V	Illumina	7898	10249.M015.01V
12802.10249.M016.01R	Illumina	7898	10249.M016.01R
12802.10249.M016.01SS	Illumina	7898	10249.M016.01SS
12802.10249.M016.01V	Illumina	7898	10249.M016.01V
12802.10249.M016.02R	Illumina	7898	10249.M016.02R
12802.10249.M016.02V	Illumina	7898	10249.M016.02V
12802.10249.M016.03R	Illumina	7898	10249.M016.03R
12802.10249.M016.03V	Illumina	7898	10249.M016.03V
12802.10249.M017.01R	Illumina	7898	10249.M017.01R
12802.10249.M017.01SS	Illumina	7898	10249.M017.01SS
12802.10249.M017.01V	Illumina	7898	10249.M017.01V
12802.10249.M017.02R	Illumina	7898	10249.M017.02R
12802.10249.M017.02V	Illumina	7898	10249.M017.02V
12802.10249.M017.03R	Illumina	7898	10249.M017.03R
12802.10249.M017.03V	Illumina	7898	10249.M017.03V
12802.10249.M018.01R	Illumina	7898	10249.M018.01R
12802.10249.M018.01SS	Illumina	7898	10249.M018.01SS
12802.10249.M018.01V	Illumina	7898	10249.M018.01V
12802.10249.M018.02R	Illumina	7898	10249.M018.02R
12802.10249.M018.02V	Illumina	7898	10249.M018.02V
12802.10249.M018.03R	Illumina	7898	10249.M018.03R
12802.10249.M018.03V	Illumina	7898	10249.M018.03V
12802.10249.M019.01R	Illumina	7898	10249.M019.01R
12802.10249.M019.01V	Illumina	7898	10249.M019.01V
12802.10249.M019.02R	Illumina	7898	10249.M019.02R
12802.10249.M019.02V	Illumina	7898	10249.M019.02V
12802.10249.M020.01R	Illumina	7898	10249.M020.01R
12802.10249.M020.01SS	Illumina	7898	10249.M020.01SS
12802.10249.M020.01V	Illumina	7898	10249.M020.01V
12802.10249.M020.02V	Illumina	7898	10249.M020.02V
12802.10249.M020.03V	Illumina	7898	10249.M020.03V
12802.10249.M021.01R	Illumina	7898	10249.M021.01R
12802.10249.M021.01SS	Illumina	7898	10249.M021.01SS
12802.10249.M021.01V	Illumina	7898	10249.M021.01V
12802.10249.M021.02V	Illumina	7898	10249.M021.02V
12802.10249.M021.03R	Illumina	7898	10249.M021.03R
12802.10249.M021.03V	Illumina	7898	10249.M021.03V
12802.10249.M022.01R	Illumina	7898	10249.M022.01R
12802.10249.M022.01SS	Illumina	7898	10249.M022.01SS
12802.10249.M022.01V	Illumina	7898	10249.M022.01V
12802.10249.M022.02R	Illumina	7898	10249.M022.02R
12802.10249.M022.02V	Illumina	7898	10249.M022.02V
12802.10249.M023.01R	Illumina	7898	10249.M023.01R
12802.10249.M023.01V	Illumina	7898	10249.M023.01V
12802.10249.M023.02R	Illumina	7898	10249.M023.02R
12802.10249.M023.02V	Illumina	7898	10249.M023.02V
12802.10249.M024.01R	Illumina	7898	10249.M024.01R
12802.10249.M024.01SS	Illumina	7898	10249.M024.01SS
12802.10249.M024.01V	Illumina	7898	10249.M024.01V
12802.10249.M024.02R	Illumina	7898	10249.M024.02R
12802.10249.M024.02V	Illumina	7898	10249.M024.02V
12802.10249.M024.03R	Illumina	7898	10249.M024.03R
12802.10249.M024.03V	Illumina	7898	10249.M024.03V
12802.10249.M025.01R	Illumina	7898	10249.M025.01R
12802.10249.M025.01V	Illumina	7898	10249.M025.01V
12802.10249.M025.02R	Illumina	7898	10249.M025.02R
12802.10249.M025.02V	Illumina	7898	10249.M025.02V
12802.10249.M025.03R	Illumina	7898	10249.M025.03R
12802.10249.M025.03V	Illumina	7898	10249.M025.03V
12802.10249.M026.01R	Illumina	7898	10249.M026.01R
12802.10249.M026.01V	Illumina	7898	10249.M026.01V
12802.10249.M026.02R	Illumina	7898	10249.M026.02R
12802.10249.M026.02V	Illumina	7898	10249.M026.02V
12802.10249.M027.01R	Illumina	7898	10249.M027.01R
12802.10249.M027.01SS	Illumina	7898	10249.M027.01SS
12802.10249.M027.01V	Illumina	7898	10249.M027.01V
12802.10249.M027.03R	Illumina	7898	10249.M027.03R
12802.10249.M027.03V	Illumina	7898	10249.M027.03V
12802.10249.M029.01R	Illumina	7898	10249.M029.01R
12802.10249.M029.01V	Illumina	7898	10249.M029.01V
12802.10249.M029.02R	Illumina	7898	10249.M029.02R
12802.10249.M029.02V	Illumina	7898	10249.M029.02V
12802.10249.M030.01R	Illumina	7898	10249.M030.01R
12802.10249.M030.01SS	Illumina	7898	10249.M030.01SS
12802.10249.M030.01V	Illumina	7898	10249.M030.01V
12802.10249.M030.02R	Illumina	7898	10249.M030.02R
12802.10249.M030.02V	Illumina	7898	10249.M030.02V
12802.10249.M030.03R	Illumina	7898	10249.M030.03R
12802.10249.M030.03V	Illumina	7898	10249.M030.03V
12802.10249.M031.01R	Illumina	7898	10249.M031.01R
12802.10249.M031.01SS	Illumina	7898	10249.M031.01SS
12802.10249.M031.01V	Illumina	7898	10249.M031.01V
12802.10249.M031.02R	Illumina	7898	10249.M031.02R
12802.10249.M031.02SS	Illumina	7898	10249.M031.02SS
12802.10249.M031.02V	Illumina	7898	10249.M031.02V
12802.10249.M031.03V	Illumina	7898	10249.M031.03V
12802.10249.M032.01R	Illumina	7898	10249.M032.01R
12802.10249.M032.01SS	Illumina	7898	10249.M032.01SS
12802.10249.M032.01V	Illumina	7898	10249.M032.01V
12802.10249.M032.02R	Illumina	7898	10249.M032.02R
12802.10249.M033.01R	Illumina	7898	10249.M033.01R
12802.10249.M033.01SS	Illumina	7898	10249.M033.01SS
12802.10249.M033.01V	Illumina	7898	10249.M033.01V
